Ranking,Pools,Share,Blocks Mined,Avg. Tx Fees Per Block (BTC),Tx Fees/Block Reward,Last Block
1,unknown,28.70%,"227,138",0.06309021,0.14%,"791,464"
2,F2Pool,9.95%,"78,777",0.38802889,2.55%,"791,480"
3,AntPool,9.26%,"73,308",0.50971265,3.77%,"791,483"
4,BTC.com,5.03%,"39,829",0.64434855,6.05%,"791,468"
5,Braiins Pool,4.99%,"39,481",0.45218417,2.30%,"791,481"
6,BTC Guild,4.16%,"32,935",0.19900559,0.65%,"363,142"
7,ViaBTC,4.07%,"32,219",0.55981333,5.81%,"791,473"
8,Poolin,3.42%,"27,079",0.34858700,3.93%,"791,408"
9,GHash.IO,2.92%,"23,083",0.10735954,0.43%,"435,686"
10,Foundry USA,2.84%,"22,489",0.18278772,2.92%,"791,482"
11,BitFury,2.47%,"19,513",0.52915569,2.75%,"622,855"
12,BTCC,2.28%,"18,027",0.59012497,3.02%,"543,040"
13,BTC.TOP,2.12%,"16,748",1.03817614,8.68%,"690,257"
14,Binance Pool,2.04%,"16,160",0.32479516,5.18%,"791,455"
15,BWPool,1.61%,"12,733",0.53847580,2.82%,"549,337"
16,Eligius,1.44%,"11,387",0.12032936,0.41%,"495,555"
17,Huobi.pool,1.18%,"9,351",0.48832855,5.40%,"710,871"
18,BitMinter,0.82%,"6,464",0.19248174,0.61%,"589,801"
19,50BTC,0.81%,"6,392",0.26881565,1.08%,"303,841"
20,KnCMiner,0.79%,"6,290",0.16648023,0.68%,"429,464"
